              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2004-12-26 21:00:00,   2004-12-27 17:00:00,      20,     239,    0.46,    4.56,   12.12,    3.90,   10.80
2005-01-06 16:00:00,   2005-01-06 22:00:00,       6,     136,     nan,    3.51,    7.69,    3.28,    7.81
2005-01-12 14:00:00,   2005-01-12 17:00:00,       3,     108,     nan,    3.21,    8.33,    3.11,    7.72
2005-01-17 05:00:00,   2005-01-17 08:00:00,       3,     138,     nan,    3.07,    9.09,    3.04,    8.84
2005-01-23 02:00:00,   2005-01-23 12:00:00,      10,     288,    0.67,    6.24,   10.00,    4.95,    8.99
2005-02-04 12:00:00,   2005-02-04 21:00:00,       9,     249,    0.10,    3.31,   12.90,    3.18,   13.04
2005-02-15 06:00:00,   2005-02-15 12:00:00,       6,     324,   -0.22,    3.42,    8.33,    3.26,    8.12
2005-03-01 00:00:00,   2005-03-02 11:00:00,      35,     157,    0.18,    4.57,   10.00,    3.58,    9.08
2005-03-09 00:00:00,   2005-03-09 10:00:00,      10,     353,   -0.43,    4.25,    8.33,    3.83,    7.67
2005-03-24 03:00:00,   2005-03-24 19:00:00,      16,     110,    0.32,    3.88,    8.33,    3.48,    8.51
2005-03-29 09:00:00,   2005-03-29 22:00:00,      13,     102,    0.17,    4.00,   10.81,    3.41,   11.19
2005-04-03 04:00:00,   2005-04-04 08:00:00,      28,     793,    0.30,    4.59,   10.00,    3.85,   10.69
2005-05-07 09:00:00,   2005-05-07 21:00:00,      12,     412,    0.26,    4.24,   10.81,    3.57,   10.25
2005-05-25 01:00:00,   2005-05-26 09:00:00,      32,    3259,    0.41,    3.72,    7.69,    3.35,    7.61
2005-10-09 04:00:00,   2005-10-09 14:00:00,      10,      58,     nan,    3.71,    8.33,    3.30,    9.21
2005-10-12 00:00:00,   2005-10-15 11:00:00,      83,     182,     nan,    5.29,    9.09,    4.06,   10.06
2005-10-23 01:00:00,   2005-10-23 05:00:00,       4,      49,    0.53,    3.26,    7.69,    3.23,    7.42
2005-10-25 06:00:00,   2005-10-26 16:00:00,      34,     197,    0.54,    6.76,   10.00,    4.25,   10.98
2005-11-03 21:00:00,   2005-11-04 05:00:00,       8,     437,   -0.22,    3.52,    7.14,    3.35,    7.66
2005-11-22 10:00:00,   2005-11-23 11:00:00,      25,      28,    0.03,    6.37,   12.12,    4.09,   11.51
2005-11-24 15:00:00,   2005-11-25 06:00:00,      15,     184,   -0.05,    4.17,    7.69,    3.45,    8.70
2005-12-02 22:00:00,   2005-12-03 10:00:00,      12,     153,   -0.15,    3.61,    7.69,    3.24,    7.81
2005-12-09 19:00:00,   2005-12-09 22:00:00,       3,     869,   -0.63,    3.80,    7.69,    3.70,    8.12
2006-01-15 03:00:00,   2006-01-15 21:00:00,      18,      59,     nan,    3.84,   10.00,    3.32,    8.76
2006-01-18 08:00:00,   2006-01-19 16:00:00,      32,    1202,     nan,    5.58,   11.43,    4.14,    9.72
2006-03-10 18:00:00,   2006-03-11 00:00:00,       6,    1240,   -0.01,    3.60,    9.09,    3.32,    8.60
2006-05-01 16:00:00,   2006-05-02 09:00:00,      17,    1909,    0.19,    3.72,   10.00,    3.29,    9.63
2006-07-20 22:00:00,   2006-07-21 03:00:00,       5,    1873,   -0.08,    3.18,   10.81,    3.14,   10.15
2006-10-07 04:00:00,   2006-10-07 16:00:00,      12,     498,    0.37,    3.26,    8.33,    3.12,    8.54
2006-10-28 10:00:00,   2006-10-30 08:00:00,      46,     233,   -0.15,    6.10,   10.00,    4.64,    9.37
2006-11-09 01:00:00,   2006-11-10 06:00:00,      29,      79,    0.22,    4.68,   12.90,    3.67,   11.81
2006-11-13 13:00:00,   2006-11-13 16:00:00,       3,      87,    0.34,    3.22,   10.00,    3.13,    9.70
2006-11-17 07:00:00,   2006-11-18 02:00:00,      19,     108,    0.03,    3.74,   10.81,    3.41,    9.71
